Tanggal,Komentar
2026-06-14,Buang buang uang rakyat
2026-06-14,Sepi
2026-06-13,Terus klo harganya bersaing ga sama alfa indomart?
2026-06-13,"Tambahin gerai pertamini aja semua kdmp nya, tp harganya sama kyk di pom bensin,pasti rame"
2026-06-13,Ya inilah hasilnya MBG KDSMP dampaknya BBM naik pajak naik untuk mendukung program korupsi berjamaah
2026-06-13,Akan indah pada waktunya😅
2026-06-13,Persaingan bebas pemerintah dan swasta
2026-06-13,Konten penjilat pemerintah
2026-06-13,"Bukan untuk rakyat tapi untuk karyawannya,tidak ubahnya seperti indomart dan Alfamart"
2026-06-13,"Di warung saja dekat rumah bisa ngutang dulu , kalau di kopdes bisa ngutang engga 😂"
2026-06-13,Terlalu ambisi grasa grusuh harusnya percobaan dulu satu kabupaten jika berhasil kita kembangkan di propinsi jika gagal kan gak banyak rugi
2026-06-13,"kop merah putih nggk bakalan jalan, alias mangkrak liat aja"
2026-06-13,"Gak jalan itu kmp, tempat nya jauh dari pemukiman"
2026-06-13,"Ko mirip program anis sandy &quot; Ok OC &quot; Yg akhir ny juga oke bangkrut , 😂"
2026-06-13,Ini proyek bancakan
2026-06-13,Mending beli ke warung terdekat itung2 bantu temen2 danb rakyat kecil yg cari rezeki dan tdk digaji oleh negara.
2026-06-13,di rumaku rame rame sekalih karena dekat kuburan dekat pemakam umum proyek prabowo tdk jelas yg beli besok pocong dan demet karena melayani orang yg sdh menigal
2026-06-13,Etar juga bangkut lagi sama mbg
2026-06-13,Bang harusnya tanya omset per harinya brp duit.
2026-06-13,"Gak usah beli di koperasi merah putih ,biar bangkrut 😂😂"
2026-06-13,"terserah penguasa deh masak negara mendirikan warung/toko retail.? mesti jelas dulu kdmp ini tujuannya apa? masak jualan kayak toko kelontong? produk2nya juga buatan pabrikan, trus apa keunggulannya. 😁😁😁"
2026-06-13,Korup. Lagi. Korup. Lagi. Asik. Dapat. Bancakan. Duit. Rakyat. 🤑🤑🤑
2026-06-13,"Satu lagi blunder Prabowo yakni kdmp,beliau TDK pikir matang2 apa yg dibenaknya langsung go ahead tanpa pikir panjang rawan dikorupsi,SDH terlalu tua presiden kita"
2026-06-13,Ahhh abs hasilnya kita tunggu ketoke suram
2026-06-13,"Beli di warung tetangga saja, Tentunya warung terangga yg lebih dulu membantu kita di saat kesusahan"
2026-06-13,"Toko beginian mau membangkrutkan indomaret dan alfamart???? Mimpiiii Keadaan itu menegaskan bahwa pemerintah cuma butuh mengeluarkan dana infrastrukturnya KDMP yg berupa gedung dan perabotannya, truk, pick-up,dst. Persetan jika KDMP bangkrut atau tidak. Kalaupun ada untungnya pasti sudah habis dijadikan bancakan pejabat"
2026-06-13,Koq sy baru saja lewat situ Juni 2026 ga ngeliat ada kopdes. Bearti sepi 😂
2026-06-12,Absolutly most of them will be bankrupt before operation
2026-06-12,pak Wowo gak liat ke belakang dulu kud bangkrut ada kop Des bubar sekarang kdmp pasti nyung seblagi
2026-06-12,Program yg dipaksakan hanya krn janji kampanye
2026-06-12,"beli di warung sebelah aja, malah boleh ngutang dulu,"
2026-06-12,Paling suka baca komentar Isinya orang2 pintar semuaa semoga pada jadi pejabat negara atau CEO perusahaan raksasa
2026-06-12,"Rak rak nya pada kosong, yg belanja sepi, tiap bulan tekor, nggak sampe setahun , bangkrut."
2026-06-12,Tidak ada KHUP nya tidak beli di koperasi desa MP ???? mending beli di warung tonggo 😅😅
2026-06-12,"Koperasi merah putih sawah ladang korupsi, nol nggk akan berhasil, kalau korupsinya pasti dijamin berhasil"
2026-06-12,Saya gak mau belanja di kopdes mending di warung tetangga dan keluarga
2026-06-12,Gk jelas😂😂😂
2026-06-12,Beli di KDMP bagi² ke koruptor Beli di pasar lokal bagi² rezeki ke sesama wong cilik
2026-06-12,Gak habis pikir sy mengenai program kayak gitu mending k tmpt lebih dekat lah AP k laris manis k
2026-06-12,"Gak bakal sukses, terlalu banyak pemain 😂😂😂 percayalah hanya akan jadi beban sama kyak MBG 😂"
2026-06-12,Lihat dimana mana yg sdh jadi sepi. Pdhl hrs mengeluarkan biaya setiap blm yh gajinya pantatis pemasukan gk ada akirnya uang rakyat lg
2026-06-12,Koperasi menghabiskan APBN dan berakhir jadi bangunan mangkrak
2026-06-12,Korupsi Merah Putih
2026-06-11,Hahahahaha
2026-06-11,nampaknya ramai angin lalu
2026-06-11,reporter terlalu banyak omong tdk to the point
2026-06-11,Terus truck buat apa
2026-06-11,"Kampung kok dikasih sistem belanja model gitu,mnding warung terdekat gk ribet"
2026-06-11,Sekelas presiden kok masih bisa dikibulin y ?? 😂😂😂
2026-06-11,KDMP : Korupsi Dana Makin Parah
2026-06-11,"Belanja diwarung tetangga terdekat lebih murah, dibanding toko modern"
2026-06-11,Wai orang 2 yang waras kdmp boleh berdiri jangan pada balanja pada disitu
2026-06-11,Bagi bagi duit Negoro
2026-06-10,"MBG dan KOPDES itu sebagai sarana korupsi Prabowo Jokowi dan kroni kroninya mengapa program yg sudah jelas ladang koropsi tetap dibiarkan, melihat negara ini akan runtuh mengapa kita rakyat ini diam, kalau ada tokoh tokoh yg berani bersuara malah di semprot dan di intimidasi, sebenarnya kalau kita bersatu kompak tegas tidak mau makan suap kita bisa lawan pemerintah tetapi yg zolim lebih baik kita bertindak daripada hanya melihat kezaliman walaupun saya akui tidak mudah, kita ini melawan penjajah ekonomi orang orang serakah pemerintah Prabowo dan sisa pemerintah Jokowi biang kerok dari sengsaranya rakyat, saya hanya rakyat kecil orang desa tidak cerdas tidak pandai bicara tetapi saya punya rasa untuk merasakan kondisi bangsa ini, yg hancur sehancur hancurnya, bagaimana anak cucu kita nanti kalau pemerintah semacam ini masih berkuasa."
2026-06-10,Koprasi merah putih sama saja ladang nya karuosi seperti MBG
2026-06-10,"Kenapa pemeritah sudah merangkap jadi pedagang juga, untuk apalagi dibangun kopdes padahal rakyat desa butuh pekerjaan mereka membuka usaha sendiri atau warung kecil kecilzn ,akhirnya jadi saingan dengan pejabat menjadi pedagang"
2026-06-10,Ada gambarnya Prabowo Segede gaban 😂😂
2026-06-10,Program ngawur2 prabowo.
2026-06-10,"Klu kopersinya di tengah kebun ,seperti di tempatku/desaku gimana mas."
2026-06-10,"Ini proyek penghamburan uang rakyat demi perut kru pejabat, contoh penghamburan uang rakyat, koperasi yg udah ada dari tahun baholak aja senin kemis, ini malah bikin koperasi lagi Aduh bener bener blunder"
2026-06-09,"sudahlah itu uang negara abis blanja abis barang uang abis juga, jamin bertahan lama MBG koprasi program presiden MBG koroptor berantai, apakah ini aman mau bertahan sampai, terkana 😢😂😮"
2026-06-09,"Bang maaf,videonya kelamaan di jalan,langsung review lokasi kopdesnya saja"
2026-06-09,Lawassss
2026-06-09,gak bakalan lama juga nanti pada bamgkrut gua yakin
2026-06-09,Hentikan kopdes Yg udah jadi kontrakin aja buat toko matreal 😂😂😂
2026-06-09,DILIHAT PEMBELINYA SEPI DAN BARANG YG DI JUAL SEDIKIT SEMENTARA GEDUNGNYA BESAR DAN DIPETAK/DISEKAT2 SHG TDK EFISIEN. TINGGAL TUNGGU BANGKRUT NYA SAJA
2026-06-08,Kira2 prabowo tau egk ya
2026-06-08,"Toko warga siap2 gulung tikar, program tanpa pertimbangan yang jelas. Proyek bagi2 uang untuk kroni"
2026-06-08,"Aku heran Prabowo Subianto Presiden RI mendirikan Koperasi Desa Merah Putih se Indonesia, apakah sudah dikaji sesuai dengan prinsip-prinsip koperasi yang dicanangkan Bapak Koperasi Indonesia yaitu Bapak Muhammad Hatta, bahwa &quot;koperasi itu adalah bukan kumpulan modal&quot; tapi &quot;koperasi itu adalah kumpulan orang&quot;, kekuasaan tertinggi koperasi ada di tangan Rapat Anggota Tahunan (RAT), dan dalam Koperasi Rapat Anggota Tahunan harus diselenggarakan setiap tahun sekali dengan mengundang hadir seluruh anggota koperasi. Kemudian untuk modal koperasi setiap anggota mempunyai kewajiban melakukan &quot;Simpanan uang wajib dan Simpanan uang mana suka&quot;. Selanjutnya uang simpanan wajib dan uang simpanan mana suka itu dikelola oleh Pengurus Koperasi yang ditunjuk dalam RAT, diputar untuk usaha koperasi, kemudian dalam perputaran usaha koperasi itu dalam satu tahun dihitung dan dipertanggung-jawabkan di Rapat Anggota Tahunan, kemudian uang laba dalam perputaran usaha koperasi itu setelah diperhitungkan uang anggota yang dikumpulkan yang diusahakan dalam satu tahun, dikurangi pengeluaran, ada sisa uang yang dinamakan laba disebut &quot;Sisa hasil usaha yang lazim disebut SHU&quot;. Kemudian SHU ini dibagikan kepada Anggota Koperasi dalam Rapat Anggota Tahunan, mengenai besarnya penerimaan berdasarkan prosentasi dari &quot;uang simpanan manasuka anggota koperasi&quot;. Kalau KDMP tidak memenuhi prinsip-prinsip koperasi ini, KDMP itu namanya bukan koperasi."
2026-06-08,Apakah akan jadi bangunan mangkrak untuk beberapa tahun kedepan
2026-06-07,Mending beli ditoko tetangga aja jelas uang dari mana dagangannya dan barokah
2026-06-07,100 persen korup
2026-06-07,Jangan beli di koperasi merah putih lah
2026-06-07,"Kenapa orang2 klo bikin konten terlalu banyak bicara yg tdk perlu, dan cenderung di ulang2. Malah membosankan"
2026-06-07,"Semua program prabowo mana ada yg berhasil, semua serba asal2an"
2026-06-07,"Banyak kdmp tempat tdk strategis,pinggir kali, puncak gunung,dekat jurang, dekat makam jauh dr pemukiman bangkrut wowo"
2026-06-07,"Presiden y kaya y membolehkan Korupsi dari akibat kebijakan program dia, byk yg mengkritik program ini, dia tetep aj maju trs, kaya ga ada rem y"
2026-06-07,KDMT atau KDRT ? haha warungnya kalah rame sama warung madura
2026-06-06,"Salfok sama tulisannya yang bahasa Inggris, &quot;Manage by Kimia Farma.&quot; Kalau nggak bisa Bahasa Inggris sebaiknya jangan sok2an pakai bahasa Inggris lah jadi malu2in kalau ketahuan salah.😅"
2026-06-06,Wooww hahahaa
2026-06-06,"Dah dblng gak laku brang, jngan dbuat lgi kopdes"
2026-06-06,"Dulu BUMDES dilarang usaha yang sudah dilakukan warga desa, mosok kopdes malah nyaingi usaha warganya, piye jal iki"
2026-06-05,Di daerah saya masih belum pada beres Nanti mungkin bangunan beres prabowo sdh gk ngejabat lagi 😂
2026-06-05,Koprasi ladang korupsi seperti mbg
2026-06-05,Warung merah putih
2026-06-05,"Mending belanja di alfamart indomart, lengkap, nyaman, ber ac"
2026-06-05,Auranya indikasi bakalan bubar bangkrut
2026-06-05,Buang buang uang pajak rakyat saja
2026-06-05,ga beda sama minimarket ya 😅
2026-06-05,Tak meyakinkan dengan jumlah barang
2026-06-05,Prabowo salah kawan Kita tunggu hasinya nantu
2026-06-05,"INGAT KUD , KOPERASI UNIT DESA YG BISNISNYA TERBATAS PERTANIAN SAJA WILAYAH KERJANYA KECAMATAN MENJADI RIWAYATMU DULU"
2026-06-05,"Intine cah sekolah mangan mbg sedino sepisan. Cukup,kdmp mateni umkm"
2026-06-05,Semoga berjalan dng baik bersama pasar desa alfarmat indomart dan pedagang kelontong melayani kebutuhan masyarakat aku gak mau jadi bangsa indonesia anti koperasi menurut saya koperasi amanah UUD 45 ya seperti ini .dari anggota u anggota dalam melayani kebutuhan masyarakat apalagi ini pemerintah dibelakang langsung kalo ada kasus penyelewengan ya itu namanya kasus harus ditindak tegas
2026-06-05,Yang penting ada jalan untuk korupsi
2026-06-05,"Kesuwen perjalanane, dienteni kok suwineram, akhirnya waktu habis sebelum selesai"
2026-06-04,Ayo rakyat indonesia hidupkan warung2 desa
2026-06-04,Kalau kita belanja di kopdes sama aja dong rakyat Indonesia mendukung korupsi sedangkan BUMDES 2 DI SETIAP DESA GA JALAN TUH😂😂😂
2026-06-04,Dipakai jualan Cilok dan Warung Angkringan aja
2026-06-04,KDMP dan RITEL sebenarnya beda prinsip kerjanya RITEL gak punya anggota tapi yg jadi anggota KDMP siapa saja yaaa
2026-06-04,"Banyak rakyat yg mempridiksi,KDMP ga berjalan mulus,, kalo saya ya belanja ke tetangga lah,, kalo ada apa&quot; Pasti tetangga yg pertama membantu Kalo tdk ya sekalian belanja ke Indomaret"
2026-06-04,Kopfes memakan anggaran biaya besar. Coba pemerintah biaya membangun kopfes itu. Digunakan untuk biaya sekolah gratis. BPJS kesehatan gratis. Harga sembako normal. Pajak dihapus lagi.
2026-06-04,Kud didesa ku dulu ad waktu kecil lama lama bangkrut tinggal kenangan ap kdmp bakal sama nasibnya seperti kUD
2026-06-04,Aneh memang Rakyat di ajak bersaing Mematikan pedagang kecil
2026-06-04,tiap koperasi beda2 ini kiosnya disewakan
2026-06-04,Ga menarik blas
2026-06-04,Lebih baik beli dwrung2 yg terdekat drpada beli dikoprasi merah putih ogah bnget dan ga mau lh
2026-06-04,Hahaha tuuuh makan kopdes xixixi
2026-06-04,"Meskipun Alfamart dan Indomaret di tutup, masyarakat lebih memilih belanja kewarung terdekat"
2026-06-03,Itu yank beli ampek ngejubel.
2026-06-03,Calon kuburan massal
2026-06-03,KDMP tdk akan berhasil pasti cepet akan gulung tikar
