Tanggal_format,IHSG Close,Label
2026-06-19,6177.1391601562,1
2026-06-22,6116.6899414062,0
2026-06-23,6101.3330078125,0
2026-06-24,5883.880859375,0
2026-06-25,5999.0380859375,1
2026-06-26,5896.1337890625,0
2026-06-29,5820.7900390625,0
